#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 389 2 9 10 0.0215195399 1 0
1 390 2 9 10 0.1459597497 1 0
1 391 2 9 10 0.1668668001 1 0
1 392 2 9 10 0.0842405509 1 0
1 393 2 9 10 3.2968840565 1 0
1 394 2 9 10 1.1284180582 1 0
1 395 2 9 10 0.0294568823 1 0
1 407 2 9 10 0.0019916799 1 0
1 408 2 9 10 0.0059750413 1 0
1 409 2 9 10 0.0028949476 1 0
1 410 2 9 10 0.00178244 1 0
1 411 2 9 10 0.0008174578 1 0
1 414 2 9 10 0.0066973933 1 0
1 415 2 9 10 0.0074736218 1 0
1 416 2 9 10 0.0023286996 1 0
1 437 2 9 10 0.0107130089 1 0
1 438 2 9 10 0.4031595193 1 0
1 439 2 9 10 0.6214203323 1 0
1 440 2 9 10 0.6654958796 1 0
1 441 2 9 10 0.050762286 1 0
1 442 2 9 10 0.0169207548 1 0
1 447 2 9 10 0.112434562 1 0
1 448 2 9 10 0.3373036861 1 0
1 449 2 9 10 0.2377858025 1 0
1 450 2 9 10 0.0854760386 1 0
1 451 2 9 10 0.0412180921 1 0
1 452 2 9 10 0.1050119253 1 0
1 454 2 9 10 0.0135491065 1 0
1 455 2 9 10 0.0135491065 1 0
1 459 2 9 10 0.0114495057 1 0
1 460 2 9 10 0.0343485117 1 0
1 466 2 9 10 0.0192444342 1 0
1 467 2 9 10 0.0243453229 1 0
1 468 2 9 10 0.0153026554 1 0
1 469 2 9 10 0.058645207 1 0
1 470 2 9 10 0.0195483861 1 0
1 481 2 9 10 0.0345370447 1 0
1 482 2 9 10 0.0115123482 1 0
1 483 2 9 10 0.0107145626 1 0
1 484 2 9 10 0.0321436878 1 0
1 485 2 9 10 0.1615144226 1 0
1 486 2 9 10 0.1129061103 1 0
1 487 2 9 10 0.08838846 1 0
1 488 2 9 10 0.0879613639 1 0
1 489 2 9 10 1.4151772304 1 0
1 490 2 9 10 0.4839847574 1 0
1 491 2 9 10 0.0139370158 1 0
1 492 2 9 10 0.0050340466 1 0
1 493 2 9 10 0.0372877878 1 0
1 494 2 9 10 0.0124292644 1 0
1 497 2 9 10 0.0109642819 1 0
1 498 2 9 10 0.0036547617 1 0
1 499 2 9 10 0.0055527626 1 0
1 500 2 9 10 0.0166582986 1 0
1 502 2 9 10 0.0096828046 1 0
1 503 2 9 10 0.0142899191 1 0
1 504 2 9 10 0.0138213379 1 0
1 505 2 9 10 0.0116134498 1 0
1 506 2 9 10 0.0192519435 1 0
1 507 2 9 10 0.0153807972 1 0
1 510 2 9 10 0.0112734074 1 0
1 511 2 9 10 0.0136802133 1 0
1 512 2 9 10 0.0072204067 1 0
1 514 2 9 10 0.0287608455 1 0
1 515 2 9 10 0.0288996127 1 0
1 516 2 9 10 0.0004163133 1 0
1 522 2 9 10 0.0261103192 1 0
1 523 2 9 10 0.0758393206 1 0
1 524 2 9 10 0.1491868963 1 0
1 531 2 9 10 0.6311550175 1 0
1 532 2 9 10 1.8934645132 1 0
1 533 2 9 10 3.6739020214 1 0
1 534 2 9 10 3.1580899414 1 0
1 535 2 9 10 2.8440795847 1 0
1 536 2 9 10 2.7318731094 1 0
1 537 2 9 10 5.8624761192 1 0
1 538 2 9 10 1.9787553527 1 0
1 539 2 9 10 0.0267359447 1 0
1 540 2 9 10 0.0064170592 1 0
1 541 2 9 10 0.0477736918 1 0
1 542 2 9 10 0.2958463889 1 0
1 543 2 9 10 0.8998096713 1 0
1 544 2 9 10 1.8596641972 1 0
1 545 2 9 10 0.6593270724 1 0
1 546 2 9 10 0.3498755911 1 0
1 547 2 9 10 0.2113707383 1 0
1 548 2 9 10 0.2438131074 1 0
1 549 2 9 10 6.7630949913 1 0
1 550 2 9 10 2.290913179 1 0
1 551 2 9 10 1.188927394 1 0
1 552 2 9 10 3.4571419521 1 0
1 555 2 9 10 0.004764914 1 0
1 556 2 9 10 0.0142947419 1 0
1 558 2 9 10 0.0725434999 1 0
1 559 2 9 10 0.0725434999 1 0
1 561 2 9 10 0.0116927191 1 0
1 562 2 9 10 0.0119064829 1 0
1 563 2 9 10 0.0142518812 1 0
1 564 2 9 10 0.0187289031 1 0
1 565 2 9 10 0.061811232 1 0
1 566 2 9 10 0.0232538729 1 0
1 567 2 9 10 0.0026501314 1 0
1 569 2 9 10 0.0110710479 1 0
1 570 2 9 10 0.0036903498 1 0
1 571 2 9 10 0.0090719821 1 0
1 572 2 9 10 0.0272159518 1 0
1 573 2 9 10 0.0499318518 1 0
1 574 2 9 10 0.0376048596 1 0
1 575 2 9 10 0.0247802575 1 0
1 576 2 9 10 0.0114580455 1 0
1 577 2 9 10 0.0196165316 1 0
1 578 2 9 10 0.0128747618 1 0
1 579 2 9 10 0.0320756879 1 0
1 580 2 9 10 0.0772193316 1 0
1 581 2 9 10 0.108318967 1 0
1 582 2 9 10 0.0566537639 1 0
1 583 2 9 10 0.032242885 1 0
