# Lines starting with '#''' are comments. Comment lines must form a continuous        
# block at the beginning of this file.             
# The last comment line is not really a comment. It must contain the names of     
# the variables that are used in the code.            
# The data has to start in the following line.           
#                    
# List of variables:                 
# TS: timestep                  
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air      
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air      
# Based on data from:                
# Spivakovsky  C. M.  Logan J. A.  Montzka S. A.  Balkanski Y. J.  Foreman-Fowler M. 
# Jones D. B. A.  Horowitz L.W.  Fusco A. C.  Brenninkmeijer C. A. M.  Prather M. J.
# Wofsy S. C.  McElroy M. B.  2000  Three-dimensional climatological distribution of      
# tropospheric OH: Update and evaluation. Journal of geophysical research  Vol. 105        
# No. D7  pp 8931-8980.               
#                    
# precip: monthly average precipitation [m/h]               
# stwet: average length of rain events [h]             
# stdry: average length of dry spells [h]             
# tair1: temperature upper air [K]               
# tair2: temperature lower air [K]               
# tocean: temperature ocean surface [K]               
# tland: temperature land surface [K]               
# h1: Average upper air compartment height [m]             
# h2: Average lower air compartment height [m]             
# h5: Average ocean compartment depth [m]              
# runoffwater: water runoff                 
# tspe: time since plowing event [month]              
# perc8: percentage of ocean covered by Sea Ice [-]           
#                    
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8  
1 1 0.0015410711 0.0015955398 0.0130702291 6.0479564066 607.3272724646 236.8478462219 250.3361122131 271.2502288818 -999.99 5013.2061035156 1089.2459594727 154.0013069153 2.451329589 2.94001002 0 2190 0.9807265396  
1 2 0.0043275741 0.0030425234 0.0130505517 4.852963771 589.2441113277 236.4588867188 250.1101005554 271.2502182007 -999.99 5000.8927978516 1088.2480041504 157.6883010864 2 3.64318848 0 2920 0.9817850113  
1 3 0.0497737254 0.0280555579 0.0148455884 6.1200924055 563.4940282034 237.3261611938 251.1911949158 271.2502105713 -999.99 5023.5067626953 1093.0363891602 157.9574737549 3.021668598 2.651442699 0 3650 0.9834691238  
1 4 0.2392535154 0.1821452007 0.0150723482 6.3424112866 536.9407596263 241.0704040527 257.1965484619 271.2501937866 -999.99 5101.6588134766 1119.3177612305 145.9777168274 2.390486314 3.390951712 0 4380 0.9816489334  
1 5 0.7340191266 0.7859664534 0.0325664596 9.7184724193 410.7051929548 247.3481178284 266.4065963745 271.2500762939 -999.99 5221.4493164063 1159.2960205078 131.5943523407 2.091032001 2.98911984 0 5110 0.9732833405  
1 6 1.1010048472 0.7529110825 0.0567663367 11.4862596944 279.3339403693 251.8461723328 272.5687149048 271.2500610352 -999.99 5307.8815917969 1186.746270752 128.08556633 2 3.586806799 0 5840 0.9539684258  
1 7 1.1439517688 0.7765939363 0.0604455689 11.39762864 238.8618331697 253.6070610046 273.1179748535 271.2501449585 -999.99 5347.0361083984 1188.8690246582 123.7379207611 2 3.248183037 0 6570 0.8900206413  
1 8 0.6020417809 0.3403140982 0.0448704297 11.6613682635 223.5916292221 251.4624702454 270.451399231 271.2502365112 -999.99 5304.7377685547 1176.519128418 121.9418811798 2 3.578534533 0 7300 0.8367867661  
1 9 0.1731598162 0.1225639323 0.0305955583 10.9585294192 332.5553297989 246.8864982605 264.7977279663 271.2502563477 -999.99 5213.6143310547 1151.3562011719 126.2117687225 2 4.435938119 0 8030 0.8746240387  
1 10 0.0163208602 0.0120988528 0.0207493293 8.6586434094 464.2753997413 241.946559906 258.3073799133 271.2504730225 -999.99 5116.2467041016 1123.3757873535 134.4229366302 2.81382489 2.993413706 0 8760 0.9416431999  
1 11 0.0015886106 0.0019009422 0.0141634876 6.0444646601 554.839018626 239.2989982605 254.1106246948 271.2502838135 -999.99 5066.0708251953 1104.7040649414 143.0788909912 2.982390756 2.458225676 0 730 0.9654263573  
1 12 0.0014879658 0.0017639512 0.0128324837 5.390251976 599.0259103491 237.1786491394 250.7281570435 271.25025177 -999.99 5024.5911376953 1090.6751281738 149.4364746094 2 5.166987935 0 1460 0.9782990837  
2 1 0.0015303307 0.0015759281 0.0110585451 5.8604036524 596.103350772 236.9739318848 250.2544021606 271.2503173828 -999.99 5016.6398925781 1088.7326904297 156.1451454163 2.965084394 3.274921444 0 2190 0.9791927528  
2 2 0.0051775996 0.003428519 0.0111395043 4.3307420461 621.7454883986 236.4154960632 249.8321372986 271.2503295898 -999.99 5001.6088867188 1086.8421569824 161.4324676514 2.673273721 2.93774216 0 2920 0.980467514  
2 3 0.0484125754 0.0273109932 0.0111745683 5.3505818545 603.3197590324 237.1934822083 250.7420875549 271.2503326416 -999.99 5023.0035644531 1091.0268493652 163.9567115784 3.602988355 2.788390335 0 3650 0.9839862938  
2 4 0.2414409003 0.1840535332 0.0137862513 6.3157861013 578.2976453996 241.1905227661 257.1696655273 271.2502929688 -999.99 5104.9426757813 1119.1701171875 157.0782196045 3.853646712 2.678148508 0 4380 0.9818758888  
2 5 0.7349245663 0.7881066002 0.0272620508 9.8150815223 419.6359939787 247.1878234863 266.189239502 271.2501098633 -999.99 5219.0394775391 1158.4156005859 142.0709915161 3.407603579 2.424787082 0 5110 0.9733165703  
2 6 1.1181956581 0.7845189614 0.0514140961 10.8607218446 298.2528342697 251.8480354309 272.5297424316 271.2500534058 -999.99 5307.5403076172 1186.4831359863 136.5917274475 2.979145645 2.319607409 0 5840 0.9541817322  
2 7 1.1521627008 0.8011668678 0.0561710616 10.6002401859 247.773915883 253.5241912842 273.0624084473 271.2501434326 -999.99 5345.1340332031 1188.6139099121 129.9130599976 2.565300739 2.17766096 0 6570 0.8950597305  
2 8 0.5992855793 0.3427692232 0.0405428845 11.1472106293 249.8676602148 251.391293335 270.4246383667 271.2502212524 -999.99 5303.7610351563 1176.3004455566 124.9480350494 2.608194496 2.780699757 0 7300 0.8459382706  
2 9 0.1679124349 0.1201491733 0.0275714168 11.2380910327 331.8181464648 246.7954727173 264.7252990723 271.2502624512 -999.99 5212.7818115234 1150.9531860352 126.0994693756 2 3.318233858 0 8030 0.8741582298  
2 10 0.0177103948 0.0126766573 0.0206018437 10.0916672535 446.7329489959 242.0143630981 258.2712974548 271.2505203247 -999.99 5118.71796875 1123.079107666 133.4679786682 3.606971187 3.350368524 0 8760 0.9383443146  
2 11 0.001667689 0.0018969617 0.0137712256 6.7713358023 550.0654436685 239.6582054138 254.3966110229 271.2503555298 -999.99 5073.6263671875 1105.7298156738 142.3601261139 3.954582074 2 0 730 0.9615708008  
2 12 0.0015512754 0.0017218758 0.0108231072 5.6260462953 630.5519447105 237.4533737183 250.8338684082 271.2503433228 -999.99 5031.4521728516 1090.9092224121 149.659021759 2.520847194 3.247303279 0 1460 0.9760231133  
3 1 0.0015467516 0.0014886407 0.0108164699 3.7746786223 627.9004221553 236.97759552 250.0112709045 271.2504501343 -999.99 5017.282421875 1087.6226623535 167.4065208435 3.044149723 2.698115096 0 2190 0.9776398811  
3 2 0.005224805 0.0032988517 0.0100622827 2.759617834 652.7606828613 236.3072608948 249.5472351074 271.2504699707 -999.99 5000.3188476563 1085.6696716309 175.1987998962 3.815365017 2 0 2920 0.9795075073  
3 3 0.0478552828 0.0264573674 0.0104460146 3.873438032 643.3938454855 236.9705917358 250.2490242004 271.2504272461 -999.99 5020.3865966797 1088.9272521973 179.4167770386 3.914241742 2.032258259 0 3650 0.9836185646  
3 4 0.242691298 0.1845448348 0.0113474199 5.0985213966 612.7187035149 241.2350090027 257.0821960449 271.2504196167 -999.99 5106.6146240234 1118.711517334 172.255014801 3.842129991 2 0 4380 0.9799698448  
3 5 0.7273320736 0.7812355306 0.0190879074 7.4330580209 520.9768526055 246.8749214172 265.8176208496 271.2501663208 -999.99 5214.5702636719 1156.6927246094 153.0826835632 3.500707101 2 0 5110 0.9706629295  
3 6 1.118537536 0.8276829775 0.0392787082 9.7314641422 395.4697782432 251.7411773682 272.4152923584 271.2500610352 -999.99 5305.9527832031 1185.9913330078 146.6299030304 3.249368973 2.207698085 0 5840 0.9511155891  
3 7 1.1588398359 0.8071553112 0.0469906065 10.3646733241 300.4407196998 253.4921279907 273.1103042603 271.2501464844 -999.99 5344.0221435547 1188.9592773438 139.2628684998 2.525292137 2.16390974 0 6570 0.8968695297  
3 8 0.5976743584 0.339969728 0.0344536334 10.2952700733 311.437008955 251.369254303 270.4824554443 271.2502120972 -999.99 5303.5586181641 1176.5958618164 133.1689178467 2.663155365 2.274116076 0 7300 0.8480404472  
3 9 0.1679107537 0.1216708587 0.0247870712 9.8892520955 392.1668132467 246.720463562 264.6991699219 271.2502685547 -999.99 5212.2979003906 1150.7772705078 133.8466377258 2.770741609 2.642549656 0 8030 0.8692785454  
3 10 0.017736674 0.0125015179 0.0157569502 7.1892842434 539.0976688973 242.1121292114 258.3515510559 271.2505371094 -999.99 5121.6913085938 1123.07890625 141.0802906036 3.171459835 2.758611578 0 8760 0.9299559135  
3 11 0.001604324 0.0018140561 0.0122538546 5.1623112223 612.8490384289 239.8697601318 254.6311164856 271.2504180908 -999.99 5078.5489013672 1106.7392456055 149.7923080444 3.045112455 2.165558033 0 730 0.9550855713  
